LDrawName;LDrawID;Value;Edge;Alpha;Luminance;Material;LegoName;LegoID
Black;0;#1B2A34;#808080;;;;Black;26
Blue;1;#1E5AA8;#333333;;;;Bright Blue;23
Green;2;#00852B;#333333;;;;Dark Green;28
Dark_Turquoise;3;#069D9F;#333333;;;;Bright Bluish Green;107
Red;4;#B40000;#333333;;;;Bright Red;21
Dark_Pink;5;#D3359D;#333333;;;;Medium Reddish Violet / Bright Purple;22 / 221
Brown;6;#543324;#1E1E1E;;;;Earth Orange;25
Light_Grey;7;#8A928D;#333333;;;;Grey;2
Dark_Grey;8;#545955;#333333;;;;Dark Grey;27
Light_Blue;9;#97CBD9;#333333;;;;Light Blue;45
Bright_Green;10;#58AB41;#333333;;;;Bright Green;37
Light_Turquoise;11;#00AAA4;#333333;;;;Medium Bluish Green;116
Salmon;12;#F06D61;#333333;;;;Medium Red;101
Pink;13;#F6A9BB;#333333;;;;Light Reddish Violet;9
Yellow;14;#FAC80A;#333333;;;;Bright Yellow;24
White;15;#F4F4F4;#333333;;;;White;1
Light_Green;17;#ADD9A8;#333333;;;;Light Green;6
Light_Yellow;18;#FFD67F;#333333;;;;Light Yellow;3
Tan;19;#B0A06F;#333333;;;;Brick Yellow;5
Light_Violet;20;#AFBED6;#333333;;;;Light Bluish Violet;39
Purple;22;#671F81;#333333;;;;Bright Violet;104
Dark_Blue_Violet;23;#0E3E9A;#333333;;;;Dark Royal Blue;196
Orange;25;#D67923;#333333;;;;Bright Orange;106
Magenta;26;#901F76;#333333;;;;Bright Reddish Violet;124
Lime;27;#A5CA18;#333333;;;;Bright Yellowish Green;119
Dark_Tan;28;#897D62;#333333;;;;Sand Yellow;138
Bright_Pink;29;#FF9ECD;#333333;;;;Light Purple;222
Medium_Lavender;30;#A06EB9;#333333;;;;Medium Lavender;324
Lavender;31;#CDA4DE;#333333;;;;Lavender;325
Very_Light_Orange;68;#FDC383;#333333;;;;Light Yellowish Orange;36
Bright_Reddish_Lilac;69;#8A12A8;#333333;;;;Bright Reddish Lilac;198
Reddish_Brown;70;#5F3109;#808080;;;;Reddish Brown;192
Light_Bluish_Grey;71;#969696;#333333;;;;Medium Stone Grey;194
Dark_Bluish_Grey;72;#646464;#333333;;;;Dark Stone Grey;199
Medium_Blue;73;#7396C8;#333333;;;;Medium Blue;102
Medium_Green;74;#7FC475;#333333;;;;Medium Green;29
Light_Pink;77;#FECCCF;#333333;;;;Light Pink;223
Light_Nougat;78;#FFC995;#333333;;;;Light Nougat;283
Medium_Nougat;84;#AA7D55;#333333;;;;Medium Nougat;312
Medium_Lilac;85;#441A91;#333333;;;;Medium Lilac;268
Medium_Brown;86;#7B5D41;#333333;;;;Brown;217
Blue_Violet;89;#1C58A7;#333333;;;;Medium Royal Blue;195
Nougat;92;#BB805A;#333333;;;;Nougat;18
Light_Salmon;100;#F9B7A5;#333333;;;;Light Red;100
Violet;110;#26469A;#333333;;;;Bright Bluish Violet;110
Medium_Violet;112;#4861AC;#333333;;;;Medium Bluish Violet;112
Medium_Lime;115;#B7D425;#333333;;;;Medium Yellowish Green;115
Aqua;118;#9CD6CC;#333333;;;;Light Bluish Green;118
